resort_name,price,rateing,discription,links
Casa Noam - Anjuna,"₹3,000
/ night",4.84,6 guests · 2 bedrooms · 2 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/29046812?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
"Pop Art Suite, Art Themed Apt with Forest View & Swing","₹3,480
/ night",4.97,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/plus/22777762?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Cozzy 1 Br with Pool Nr Vagator Beach,"₹2,888
/ night",4.79,5 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/45587643?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
"Quiet & Homely Rooms Free Breakfast, A/C, WiFi","₹957
/ night",5.0,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50258528?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Young and Cozy 1 BHK Penthouse near Candolim Beach,"₹2,800
/ night",4.85,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/29754178?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Goan Beach house on Anjuna Beach,"₹4,274
/ night",4.91,2 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/20365953?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Talpona Paradise Beach House,"₹3,000
/ night",4.65,5 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/8590285?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Snug Studio Space In Nerul With Infinity Pool,"₹3,600
/ night",no rating,2 guests · Studio · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40215092?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
⭐1BHK Pool Facing Apartment Near Candolim Beach⭐,"₹999
/ night",5.0,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48126579?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Studio Apartment w/ pool near Baga Beach north Goa,"₹1,800
/ night",4.75,3 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/42193485?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
2Bhk House With wifi /open Terrace/ Kitchen ANJUNA,"₹1,500
/ night",no rating,4 guests · 2 bedrooms · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/49297798?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Cherish Red Spinel De'Villa|1BR|Poetic Stay at Goa,"₹1,356
/ night",4.80,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/48459440?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Cozy Studio Apartment next to Candolim Beach,"₹1,200
/ night",4.80,2 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47011533?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Spectrum hub studio Apartments beach side,"₹850
/ night",5.0,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47591157?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
"Beautiful Apartment in Paradise Canacona, SouthGoa","₹999
/ night",4.77,4 guests · 1 bedroom · 2 beds · 1.5 bathrooms,https://www.airbnb.co.in/rooms/45831285?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
2BHK Uber Cool Apartment near Baga by Hottley,"₹1,621
/ night",4.78,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48536775?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Luxurious 8 BHK Villa with a Private Pool,"₹15,543
/ night",4.17,16 guests · 8 bedrooms · 8 beds · 8 bathrooms,https://www.airbnb.co.in/rooms/45526474?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Luxurious brand new duplex - Siolim,"₹6,900
/ night",5.0,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46591745?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Luxurious Apt Near Calangute Beach with Pool view,"₹3,200
/ night",5.0,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48497445?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Cozy apartment in Arpora / Nagoa,"₹3,200
/ night",4.43,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/1459219?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
North Goa Luxury Apartment near Candolim,"₹3,000
/ night",4.71,5 guests · 1 bedroom · 2 beds · 1.5 bathrooms,https://www.airbnb.co.in/rooms/9537292?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
3 Bhk Luxurious Villa In Anjuna Near Thalassa,"₹4,753
/ night",4.36,10 guests · 3 bedrooms · 3 beds · 4.5 bathrooms,https://www.airbnb.co.in/rooms/29623341?previous_page_section_name=1000&translate_ugc=false&federated_search_id=429cd7e0-b2cf-4e6d-9aa5-98dd33cac363
Awesome 1 BHK Apt Riviera Foothills Nr Baga,"₹1,000
/ night",4.55,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/9869454?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Garden room in the heart of Calangute-Baga. Goa.,"₹2,000
/ night",4.73,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/20206388?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
2BHK2 Power Back-up AC WiFi Candolim Holiday Home,"₹1,341
/ night",4.92,8 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48087718?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Luxury 1BHK.PvtTerrace.Near Palolem Beach.AC.Wifi.,"₹1,035
/ night",no rating,2 guests · 1 bedroom · 2 beds · 1.5 bathrooms,https://www.airbnb.co.in/rooms/48357592?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Dazzling 2 bedroom apartment with Strong WiFi,"₹5,750
/ night",no rating,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/40546508?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Luxury - Sea cliff side cottage in South Goa,"₹4,494
/ night",no rating,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/22758932?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Cosy Studio Space In Nerul With Infinity Pool,"₹3,990
/ night",3.50,2 guests · Studio · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40144390?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
"New Furnished Studio Apartment, Canacona-South Goa","₹999
/ night",4.85,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/39287894?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Happy Mornings🌄,"₹746
/ night",5.0,1 guest · 1 bedroom · 1 bed · 1 shared bathroom,https://www.airbnb.co.in/rooms/48439580?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
CASA DE MARGEM 3BHK Riverfront Villa,"₹7,000
/ night",no rating,6 guests · 3 bedrooms · 4 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/45690609?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
TBK beach villa |Private pool & jacuzzi | genset,"₹15,429
/ night",no rating,9 guests · 3 bedrooms · 3 beds · 3.5 bathrooms,https://www.airbnb.co.in/rooms/47999243?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Quinta da Santana- Luxury Country Villa 1,"₹3,200
/ night",4.90,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/15014611?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Opulent 1BHK With ⭐Wi-Fi⭐ Near Candolim Beach🏖,"₹1,400
/ night",4.67,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/22413307?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
SEA VIEW SUITE With Private Balcony DONA PAULA,"₹2,218
/ night",3.90,4 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/46184152?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
"Rustic-Chic Villa with a Courtyard Pool, Surrounded by Palms","₹10,713
/ night",4.94,10 guests · 3 bedrooms · 3 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/plus/32118003?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Sol Avontade (VIII) -2BR Suite Villa With Pvt Pool,"₹4,650
/ night",no rating,8 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46096162?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Cute Riverside Cottage 2 mins to Morjim Beach,"₹1,364
/ night",4.88,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47231624?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
2 BR Apt Vagator | AC | Kitchen| Wifi| Common Pool,"₹2,213
/ night",3.67,6 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48735279?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
"Comfy & Homely Rooms Free Breakfast, A/C, WiFi","₹800
/ night",no rating,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47203828?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
1 Bedroom Furnished Apartment Closest to the Beach,"₹1,563
/ night",4.53,2 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/30680021?previous_page_section_name=1000&translate_ugc=false&federated_search_id=3793f4a3-6455-4f70-864b-b3c2f19f6cd6
Open Terrace 2bhk house with hispeed wifi / Anjuna,"₹1,460
/ night",4.60,4 guests · 2 bedrooms · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48072238?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
"Luxurious & Central | ♛King Bed, Views, Pool, Gym","₹3,500
/ night",5.0,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/50057611?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
1BR Riverview w/WIFI&Kayaking on Talpona River,"₹4,000
/ night",5.0,2 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/46596726?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
Splendid 2bhk apartment closer to Candolim,"₹5,750
/ night",4.57,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47501120?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
Private Pool modern villa - 10min from beach,"₹13,800
/ night",no rating,5 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48293509?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
2 Bedrooms Designer Apartment | Pool View,"₹4,999
/ night",5.0,5 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/45493964?previous_page_section_name=1000&translate_ugc=false&federated_search_id=786421f0-077a-44be-b207-53278759516e
Villa La Anila at luisa by the sea,"₹4,000
/ night",4.92,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/37463823?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
"Fully Furnished Studio Apart,Siolim","₹1,400
/ night",4.70,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/10683847?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
2BHK 3Bath 3AC Villa@Candolim WiFi+BackUp+WFH,"₹4,123
/ night",no rating,8 guests · 2 bedrooms · 4 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/50946071?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
"A bright, airy 1BHK apartment near Benaulim beach","₹1,342
/ night",4.33,3 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/46869528?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Modern 1bhk - 10min drive from Candolim - pool,"₹4,600
/ night",no rating,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/48138443?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
"Abstract Suite, Art Themed Apt with Forest View & Swing","₹3,393
/ night",4.95,3 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/plus/22777849?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
2LUXURY FRONT SEA VIEW HUT WITH AC ON AGONDA BEACH,"₹6,700
/ night",no rating,2 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/32676500?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Comfy 2 BHK - Walking distance from Anjuna Beach,"₹4,642
/ night",5.0,5 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/42005249?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Johnnie's 1BHK premium apartments,"₹2,000
/ night",4.69,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/17849253?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Johnnie's 2bhk Deluxe Apartments (Unit 2),"₹2,099
/ night",4.68,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/20869097?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Cozy Apartment @ Riviera Foothills Arpora,"₹1,503
/ night",4.60,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/672431?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Purple Martini Party Room 2| Sea View | Mykonos,"₹2,899
/ night",no rating,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/48434552?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
2BHK apartment with fully functional kitchen,"₹2,786
/ night",3.75,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/45050289?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Studio Apartment with Pool Candolim | Casa Stay,"₹1,149
/ night",5.0,3 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47976474?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Dona Karen - 1bhk Luxury apartment in Candolim - 2,"₹1,274
/ night",3.56,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/47557492?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
The Art Studio w forest view-perfect setup for WFH,"₹3,350
/ night",4.88,3 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/46080936?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Luxurious 3BHK Villa with a Pool near Candolim,"₹9,714
/ night",4.50,8 guests · 3 bedrooms · 5 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/45551091?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Calangutebeachhouse having private beach access,"₹1,185
/ night",5.0,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/38586817?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Hightide by Visit Goa,"₹2,800
/ night",4.86,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46028841?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
Pond View Room for Working Vacation,"₹2,266
/ night",4.75,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/30357434?previous_page_section_name=1000&translate_ugc=false&federated_search_id=dd1b139f-7a31-4053-9463-f12e956cc2a9
2 Bhk apartment with terrace in siolim,"₹6,900
/ night",4.75,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47379754?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
2 Cute Riverside Cottages 2 Mins to Morjim Beach,"₹2,729
/ night",4.92,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47741368?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
1BHK-5 WiFi/AC/ Backup/Pool 5min to Candolim Beach,"₹998
/ night",no rating,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50817087?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
Quinta da Santana- Luxury Country Villa 2,"₹3,200
/ night",4.91,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/15075865?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
Peaceful holiday stay in north Goa,"₹1,750
/ night",4.70,2 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/47574254?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
Airy one bedroom apartment with a pool,"₹1,500
/ night",no rating,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/49003793?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2b1a2da6-283e-411c-9fc4-4d6db221d42c
Goa Cottages Agonda - Seaview Cottage with AC,"₹6,800
/ night",4.89,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/39327758?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
Morjim River Villa,"₹6,300
/ night",4.98,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/16637825?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
"Bamboo Beach Bungalow with Pool, Yoga Shala & Spa","₹4,500
/ night",4.33,2 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/32675337?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
Heartfull Home Cozy 1 BHK Pool View RIVIERA,"₹1,499
/ night",4.35,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/38681179?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
2BHK in a Beachside Resort🏖️#Workation👨‍💻,"₹3,200
/ night",no rating,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/50907039?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
Portuguese Villa with PRIVATE POOL in North Goa,"₹9,990
/ night",4.54,10 guests · 5 bedrooms · 5 beds · 5 bathrooms,https://www.airbnb.co.in/rooms/2773033?previous_page_section_name=1000&translate_ugc=false&federated_search_id=389e1de3-f9a3-4edb-b76a-cdf37f38b0b8
Luxury 2BR Villa with Pool & Garden & Sunrise view,"₹7,650
/ night",5.0,6 guests · 2 bedrooms · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/47968934?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Brand new private pool villa -9min Vagator beach,"₹13,800
/ night",no rating,5 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/48116940?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Pindari Palms,"₹2,500
/ night",4.83,4 guests · 2 bedrooms · 3 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/33482593?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Woodstone Camelot Home,"₹2,352
/ night",4.84,3 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/27048671?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
🏝1BHK Flat In Candolim Near Beach With Wi-Fi🏝,"₹1,314
/ night",4.69,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/23314367?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
207 Flamingo by Nirvana Abode - Luxury Studio,"₹1,113
/ night",5.0,3 guests · Studio · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/48431142?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Premium Studio Space In Nerul With Infinity Pool,"₹3,601
/ night",no rating,2 guests · Studio · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40384873?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Sanitised! Coastal Reef| Fully Serviced |Pvt Pool,"₹17,000
/ night",4.85,7 guests · 3 bedrooms · 3 beds · 4 bathrooms,https://www.airbnb.co.in/rooms/40408051?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Sea view rooms in Candolim ~Footsteps to the sand,"₹2,500
/ night",5.0,2 guests · 4 bedrooms · 4 beds · 4 bathrooms,https://www.airbnb.co.in/rooms/47738255?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Incredible 1 BR Apartment overlooking the nature,"₹2,250
/ night",4.86,3 guests · 1 bedroom · 1 bed · 2 bathrooms,https://www.airbnb.co.in/rooms/21606104?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
VILLA TIMEOUT 72(2bhk)with fast speed internet,"₹2,940
/ night",4.81,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/22558478?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
1 BHK Spacious Apartment Pool Games Hookah nr Baga,"₹800
/ night",no rating,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/50334458?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Passions de Goa,"₹2,029
/ night",4.27,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/39829667?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
The Jacuzzi Suite,"₹3,300
/ night",4.90,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/45921975?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Luxurious & Comfortable 1BHK nr Calangute Beach,"₹1,987
/ night",4.71,4 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/42118102?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Unique 2BHK Apartment with inverter backup,"₹5,750
/ night",no rating,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/45373650?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Calissa at Calangute - your perfect getaway,"₹2,693
/ night",4.71,4 guests · 1 bedroom · 2 beds · 1.5 bathrooms,https://www.airbnb.co.in/rooms/46992344?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
Luxurious 4BHK Villa with a Pool near Candolim,"₹13,599
/ night",4.60,10 guests · 4 bedrooms · 6 beds · 4 bathrooms,https://www.airbnb.co.in/rooms/45551384?previous_page_section_name=1000&translate_ugc=false&federated_search_id=bfc26261-fd96-486f-98ba-3e369842bc83
